Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
58,6028,species,Long-billed Dowitcher,Limnodromus scolopaceus,8,Messick Point,US-VA,27 Apr 2020,L2153527,S67946551,,1
59,6607,species,Sooty Tern,Onychoprion fuscatus,5,Bill Jessee Park,US-VA,06 Sep 2019,L9885140,S59569036,,1
63,397,species,Egyptian Goose,Alopochen aegyptiaca,2,Bill Baggs Cape Florida SP,US-FL,31 Jul 2019,L127423,S58614590,N,1
64,15315,species,Spix's Spinetail,Synallaxis spixi,1,Reserva Ecológica Costanera Sur,AR-C,24 Jul 2019,L472208,S58421483,,1
65,5457,species,Red-fronted Coot,Fulica rufifrons,3,Reserva Ecológica Costanera Sur,AR-C,24 Jul 2019,L472208,S58421483,,1
66,15059,species,Araucaria Tit-Spinetail,Leptasthenura setaria,2,"Ruta Nacional 12, Iguazú AR-Misiones (-25.9831,-54.5820)",AR-N,22 Jul 2019,L9680870,S58373391,,1
67,34648,species,Guira Tanager,Hemithraupis guira,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
68,34156,species,Chestnut-headed Tanager,Thlypopsis pyrrhocoma,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
69,34107,species,Magpie Tanager,Cissopis leverianus,3,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
70,33757,species,White-browed Warbler,Myiothlypis leucoblephara,6,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
71,16036,species,Drab-breasted Pygmy-Tyrant,Hemitriccus diops,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
72,15867,species,White-throated Spadebill,Platyrinchus mystaceus,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
73,15302,species,Rufous-capped Spinetail,Synallaxis ruficapilla,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
74,15277,species,Gray-bellied Spinetail,Synallaxis cinerascens,3,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
75,14876,species,Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,3,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
76,14771,species,Sharp-tailed Streamcreeper,Lochmias nematura,2,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
77,14514,species,Lesser Woodcreeper,Xiphorhynchus fuscus,1,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
78,14331,species,Olivaceous Woodcreeper,Sittasomus griseicapillus,3,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
79,13600,species,Bertoni's Antbird,Drymophila rubricollis,2,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
80,13317,species,Variable Antshrike,Thamnophilus caerulescens,4,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
81,13204,species,Tufted Antshrike,Mackenziaena severa,2,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
82,12638,species,Scaly-headed Parrot,Pionus maximiliani,4,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
83,9355,species,Atlantic Black-throated Trogon,Trogon chrysochloros,2,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
84,75,species,Brown Tinamou,Crypturellus obsoletus,4,"AR-Misiones-Iguazú (-25.8644,-54.1962)",AR-N,22 Jul 2019,L9680879,S58373463,,1
85,15663,species,Black-crowned Tityra,Tityra inquisitor,2,"PR-012, Foz do Iguaçu BR-PR (-25.5751,-54.5517)",BR-PR,21 Jul 2019,L9675819,S58347831,,1
86,31548,species,Chestnut-bellied Euphonia,Euphonia pectoralis,2,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
87,13237,species,Barred Antshrike,Thamnophilus doliatus,1,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
88,5000,species,Swallow-tailed Hummingbird,Eupetomena macroura,1,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
89,4958,species,Fork-tailed Woodnymph,Thalurania furcata,1,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
90,4942,species,Violet-capped Woodnymph,Thalurania glaucopis,6,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
91,4307,species,Planalto Hermit,Phaethornis pretrei,1,Jardín de Picaflores,AR-N,21 Jul 2019,L496649,S58355060,,1
92,34187,species,Black-goggled Tanager,Trichothraupis melanops,5,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
93,33912,species,Red-crowned Ant-Tanager,Habia rubica,,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
94,28029,species,White-necked Thrush,Turdus albicollis,4,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
95,16954,species,Sibilant Sirystes,Sirystes sibilator,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
96,15996,species,Eared Pygmy-Tyrant,Myiornis auricularis,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
97,14999,species,White-eyed Foliage-gleaner,Automolus leucophthalmus,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
98,13687,species,White-shouldered Fire-eye,Pyriglena leucoptera,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
99,13554,species,Rufous-margined Antwren,Herpsilochmus rufimarginatus,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
100,11857,species,Bat Falcon,Falco rufigularis,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
101,11595,species,Blond-crested Woodpecker,Celeus flavescens,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
102,10852,species,Ochre-collared Piculet,Picumnus temminckii,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
103,9605,species,Rufous-capped Motmot,Baryphthengus ruficapillus,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
104,8127,species,Bicolored Hawk,Accipiter bicolor,1,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
